sep= . 
Montagem: 1 .  Data: 23/03/2021 13:31:39 . Placa WEG - Step 03
Tempo Passo 1 . 20,54054
Tempo Passo 2 . 28,65923
Tempo Passo 3 . 59,90956
Tempo Passo 4 . 27,38439
Tempo Passo 5 . 65,14669
Tempo Passo 6 . 27,89684
Tempo Passo 7 . 41,15744
Tempo Passo 8 . 120,3619
Tempo Passo 9 . 0,6370068
Tempo Total de Montagem  . 370,5148
